date,inflation,predicted_inflation
2022-11-01,32.2256,34.7059633809814
2022-12-01,30.9228,34.15464970048893
2023-01-01,29.651999999999997,33.84776810053423
2023-02-01,31.362800000000004,33.676946443602674
2023-03-01,28.092399999999998,33.58186078685053
2023-04-01,24.9344,33.528932590962526
2023-05-01,23.5396,33.49947079813649
2023-06-01,22.132399999999997,33.483071273800526
2023-07-01,21.5108,33.473942691570855
2023-08-01,18.9532,33.46886138483191
2023-09-01,17.294,33.466032941430115
2023-10-01,16.624000000000002,33.46445852514545
